# EIS effective area data for LW channel
# Version: v1
# Date written: Fri Nov  7 13:54:47 2025
# Prepared by Peter R. Young
      245.000    0.0093265
      246.000    0.0099666
      247.000    0.0106507
      248.000    0.0113839
      249.000    0.0121720
      250.000    0.0130217
      251.000    0.0139406
      252.000    0.0149378
      253.000    0.0160229
      254.000    0.0171989
      255.000    0.0184607
      256.000    0.0197999
      257.000    0.0212045
      258.000    0.0226581
      259.000    0.0241395
      260.000    0.0256263
      261.000    0.0271041
      262.000    0.0285593
      263.000    0.0299778
      264.000    0.0313447
      265.000    0.0326451
      266.000    0.0338608
      267.000    0.0349267
      268.000    0.0357336
      269.000    0.0361677
      270.000    0.0361207
      271.000    0.0355015
      272.000    0.0342498
      273.000    0.0323832
      274.000    0.0300652
      275.000    0.0274802
      276.000    0.0247925
      277.000    0.0221358
      278.000    0.0196099
      279.000    0.0172799
      280.000    0.0151543
      281.000    0.0132124
      282.000    0.0114389
      283.000    0.0098232
      284.000    0.0083577
      285.000    0.0070371
      286.000    0.0058605
      287.000    0.0048339
      288.000    0.0039558
      289.000    0.0032176
      290.000    0.0026059
      291.000    0.0021051
      292.000    0.0016991
