# EIS effective area data for SW channel
# Version: v1
# Date written: Fri Nov  7 13:54:47 2025
# Prepared by Peter R. Young
      165.000    0.0000000
      166.000    0.0000000
      167.000    0.0000000
      168.000    0.0000000
      169.000    0.0000000
      170.000    0.0000000
      171.000    0.0000727
      172.000    0.0001130
      173.000    0.0001779
      174.000    0.0002876
      175.000    0.0004799
      176.000    0.0008171
      177.000    0.0014009
      178.000    0.0023760
      179.000    0.0038992
      180.000    0.0060786
      181.000    0.0091056
      182.000    0.0134383
      183.000    0.0198446
      184.000    0.0288351
      185.000    0.0402740
      186.000    0.0533763
      187.000    0.0673818
      188.000    0.0814871
      189.000    0.0955668
      190.000    0.1106058
      191.000    0.1280932
      192.000    0.1470217
      193.000    0.1641461
      194.000    0.1762353
      195.000    0.1836115
      196.000    0.1879259
      197.000    0.1880951
      198.000    0.1790989
      199.000    0.1577914
      200.000    0.1274927
      201.000    0.0948495
      202.000    0.0657564
      203.000    0.0447786
      204.000    0.0319930
      205.000    0.0248783
      206.000    0.0203607
      207.000    0.0167972
      208.000    0.0137001
      209.000    0.0111414
      210.000    0.0091182
      211.000    0.0075183
      212.000    0.0062229
      213.000    0.0051512
